,fitness,solution,computed_on,generation,mesh-resoution
0,0.0372631478712872,"[1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1
 1 0 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 1 0 1 0
 1 0 1 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0
 1 0 1 0 1 1 1 0 1 1]","30.07.2023, 11:22:39",0,coarse
1,0.0441814989828942,"[1 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0
 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 0 1
 1 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 1
 0 1 1 0 1 0 0 0 0 0]","30.07.2023, 11:22:39",0,coarse
2,0.0422445338815159,"[1 0 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0
 1 1 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1
 1 1 0 0 1 1 1 1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1
 0 0 0 0 0 0 0 0 1 1]","30.07.2023, 11:26:15",0,coarse
3,0.0256137706007747,"[0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1 1 0 1 1 1 0
 1 0 0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1
 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 0
 0 1 0 1 1 0 1 0 0 1]","30.07.2023, 11:30:36",0,coarse
4,0.0302317444993308,"[1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0
 1 1 1 0 1 0 0 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1
 0 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0
 0 1 1 0 0 1 1 1 1 0]","30.07.2023, 11:30:36",0,coarse
5,0.0337895956646871,"[0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0
 1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 0 0
 0 1 1 1 0 0 0 1 1 1]","30.07.2023, 11:34:53",0,coarse
6,0.0368036000095418,"[0 1 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 1 1 0 1 1 0 1
 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0
 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0
 1 1 1 1 0 1 0 0 1 0]","30.07.2023, 11:38:39",0,coarse
7,0.0372850793906994,"[1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1
 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1
 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 0
 1 0 1 1 0 0 0 0 0 1]","30.07.2023, 11:38:39",0,coarse
8,0.0362560748194386,"[0 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 0 1 0 1 1
 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0
 1 1 1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 1 0 0
 0 0 0 0 0 1 1 0 0 1]","30.07.2023, 11:46:18",0,coarse
9,0.0296310906570976,"[1 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 0 0 0
 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0
 0 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0
 1 1 1 1 0 0 0 0 0 0]","30.07.2023, 11:46:18",0,coarse
10,0.0353025552764644,"[0 1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0
 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 0
 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0
 0 1 1 1 1 0 0 0 1 0]","30.07.2023, 11:46:33",0,coarse
11,0.0389800823629518,"[1 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0
 1 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 1 0 0 1 0
 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 0 0
 1 0 0 1 1 0 1 0 1 1]","30.07.2023, 11:52:55",0,coarse
12,0.0364892572105849,"[1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0
 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0
 1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0
 1 0 1 1 1 1 1 1 0 1]","30.07.2023, 11:52:55",0,coarse
13,0.0407600641406784,"[1 0 0 1 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1
 1 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1
 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0
 0 0 0 1 1 0 1 1 1 1]","30.07.2023, 11:56:51",0,coarse
14,0.0402100875550713,"[0 1 1 1 1 1 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 1 0 1
 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0 1 1 0
 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 1
 1 0 1 1 0 1 0 1 0 0]","30.07.2023, 12:01:23",0,coarse
15,0.0314346308271678,"[0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 1 1
 0 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0
 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0
 0 1 1 0 1 0 1 0 0 0]","30.07.2023, 12:01:33",0,coarse
16,0.0316549072900688,"[1 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1
 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 1 0
 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0
 1 0 1 0 0 0 0 1 1 1]","30.07.2023, 12:04:42",0,coarse
17,0.0352586607248863,"[0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0
 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0
 1 1 1 1 0 1 1 0 0 1 0 0 1 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0
 0 0 1 0 1 0 1 0 0 1]","30.07.2023, 12:07:46",0,coarse
